time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543543836696,10,10,36,0,-1.3982137;3.41892;12.172121,-0.059725165;-0.53166217;-0.1869073,-5.6875;-39.0625;-26.375,1021.7363,5.0,4019.0, , , , , 
1543543836705,10,10,36,0,-0.11492168;5.602432;7.0581064,-0.059725165;-0.53166217;-0.1869073,-30.75;0.375;-49.625,1021.7363,5.0,16371.0, , , , , 
1543543836715,10,10,36,0,-0.15322891;5.7748146;6.9240313,-0.059725165;-0.53166217;-0.1869073,-29.3125;-0.375;-48.875,1021.7363,5.0,16371.0, , , ,57 2a:5b:0e:bc:63:85;-86 00:17:7b:0f:49:a8;-79 0a:74:9c:eb:c0:95;-88 3a:5b:0e:bc:63:85;-86 d4:68:ba:95:d3:59;-77 d4:68:ba:8d:d3:59;-77 d4:68:ba:85:d3:59;-76 00:34:cb:64:29:7d;-83 88:25:93:11:6f:36;-86 00:34:cb:54:cc:bd;-65 4c:5e:0c:dc:6d:63;-75 3a:5b:0e:bc:79:99;-84 1a:5b:0e:bc:79:99;-83 4a:5b:0e:bc:79:99;-83 2a:5b:0e:bc:79:99;-84 08:5b:0e:bc:79:99;-84 94:d9:b3:8f:dd:d2;-81 00:34:cb:64:29:7c;-73 00:34:cb:64:2a:c2;-58 38:22:d6:d9:4d:92;-70 38:22:d6:d9:4d:90;-70 d4:68:ba:00:77:72;-78 00:34:cb:54:cc:bc;-61 3a:5b:0e:bc:79:a1;-69 1a:5b:0e:bc:79:a1;-70 4a:5b:0e:bc:79:a1;-70 2a:5b:0e:bc:79:a1;-69 08:5b:0e:bc:79:a1;-70 3a:5b:0e:bc:63:8d;-71 38:22:d6:d9:7b:72;-72 38:22:d6:d8:d2:f2;-57 38:22:d6:d8:d2:f0;-59 2c:b2:1a:3e:19:2e;-80 1a:5b:0e:bc:85:83;-76 00:17:7b:0f:49:a1;-71 00:17:7b:0f:49:a0;-64 00:17:7b:fc:41:78;-74 2a:5b:0e:bc:85:83;-74 00:34:cb:64:29:93;-84 48:7d:2e:89:89:ea;-88 00:34:cb:64:28:17;-80 ec:26:ca:32:23:ea;-87 d4:68:ba:80:75:5a;-86 00:34:cb:64:2a:ad;-83 00:34:cb:54:cc:e7;-83 00:34:cb:64:2a:c3;-71 00:34:cb:64:28:11;-67 f6:61:9d:74:7e:a4;-76 00:34:cb:64:28:10;-61 d4:68:ba:10:75:5a;-74 d4:68:ba:18:75:5a;-73 38:22:d6:d9:55:52;-68 38:22:d6:d9:55:50;-66 50:1c:b0:28:d3:c0;-78 00:17:7b:0f:48:11;-73 00:17:7b:0f:48:10;-74 bc:82:5d:6c:5a:e2;-75, 
1543543836725,10,10,36,0,-0.076614454;5.9663506;6.8569937,-0.059725165;-0.53166217;-0.1869073,-30.0;-0.375;-49.625,1021.7363,5.0,16371.0, , , , ,0
1543543836736,10,10,36,0,0.038307227;5.861006;6.895301,-0.059725165;-0.53166217;-0.1869073,-28.625;-0.4375;-49.625,1021.7363,5.0,16371.0, , , , , 
1543543836746,10,10,36,0,0.29688102;5.5641246;6.991069,-0.059725165;-0.53166217;-0.1869073,-29.3125;-1.125;-50.3125,1021.7363,5.0,16371.0, , , , , 
1543543836756,10,10,36,0,0.37349546;5.439626;7.1634517,-0.059725165;-0.53166217;-0.1869073,-30.0;-0.375;-48.125,1021.7363,5.0,16371.0, , , , , 
1543543836767,10,10,36,0,0.31603462;5.2480903;7.469909,-0.059725165;-0.53166217;-0.1869073,-29.25;-1.875;-50.3125,1021.7363,5.0,16371.0, , , , , 
1543543836777,10,10,36,0,0.18195933;5.133168;7.929596,-0.059725165;-0.53166217;-0.1869073,-29.25;-1.875;-49.625,1021.7363,5.0,12959.0, , , , , 
1543543836787,10,10,36,0,0.1340753;5.142745;8.341399,-0.059725165;-0.53166217;-0.1869073,-28.5625;-1.1875;-48.875,1021.7363,5.0,12959.0, , , , , 
