time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1545361245361,11,0,45,1,0.5363012;3.4859576;6.5601125,-0.07574729;0.09896017;0.27977628,-28.625;-17.5;-37.5,1019.24805,5.0,212.0, , , , , 
1545361245371,11,0,45,1,-2.2122424;3.9743748;8.197746,-0.07574729;0.09896017;0.27977628,-20.5625;-12.4375;-46.3125,1019.24805,5.0,298.0, , , ,81 00:34:cb:64:27:f9;-65 d4:68:ba:88:7c:ae;-63 d4:68:ba:88:7d:cf;-58 00:1f:7a:48:39:19;-74 0e:8d:b1:eb:8b:03;-83 0e:8d:b1:eb:8b:01;-83 0e:8d:8b:b1:eb:7d;-80 d4:68:ba:80:7c:ae;-66 50:fa:84:96:72:88;-88 00:1f:7a:48:39:18;-73 d4:68:ba:80:7d:cf;-61 d4:68:ba:08:7c:ae;-63 d8:c8:e9:61:05:87;-85 d4:68:ba:88:7b:ef;-73 00:1f:7a:48:39:10;-71 d4:68:ba:08:7b:ef;-67 80:13:82:56:4d:f8;-57 00:1f:7a:6b:f1:e8;-82 d4:68:ba:80:7b:ef;-73 d4:68:ba:88:7d:08;-87 00:1f:7a:6b:f1:e9;-83 d4:68:ba:00:7b:ef;-66 d4:68:ba:80:7d:7f;-82 d4:68:ba:88:7d:7f;-82 d4:68:ba:08:7d:cf;-62 00:1f:7a:48:39:11;-64 d4:68:ba:80:7d:08;-83 10:44:00:b6:d7:14;-65 30:b4:9e:dc:c3:fe;-61 d4:68:ba:00:7d:cf;-55 18:d2:76:e0:b0:5e;-62 00:34:cb:54:cc:37;-82 44:6e:e5:65:13:16;-68 00:34:cb:64:27:61;-72 d4:68:ba:80:7c:e8;-81 d4:68:ba:88:7c:e8;-80 00:34:cb:64:27:13;-82 d4:68:ba:88:7b:b9;-85 d8:b0:4c:bb:a7:cc;-61 58:69:6c:9f:0d:f9;-84 88:df:9e:8e:77:e1;-82 34:8f:27:05:a6:9c;-89 52:64:2b:68:40:63;-66 d4:68:ba:00:7d:67;-67 d4:68:ba:80:7b:b9;-80 a8:ab:60:00:04:c0;-71 38:a4:ed:b5:09:a0;-71 16:75:90:46:53:22;-73 60:da:83:69:2c:20;-89 d4:68:ba:00:7b:b9;-68 00:34:cb:64:29:4d;-82 d4:68:ba:80:7d:6f;-82 d4:68:ba:88:7d:6f;-88 44:6e:e5:65:04:07;-69 d8:c8:e9:61:05:86;-68 e0:19:1d:ad:a0:b7;-79 cc:2d:21:4b:1e:f5;-88 d4:68:ba:00:7c:ae;-69 00:0f:e2:db:67:e0;-68 d8:b0:4c:bb:b3:a4;-63 d4:68:ba:08:7b:b9;-69 00:34:cb:64:27:42;-71 d4:68:ba:08:7d:08;-72 00:22:2d:4b:f6:47;-85 00:22:2d:4b:f6:49;-85 00:22:2d:4b:f6:46;-85 d4:68:ba:88:9b:01;-86 f0:0f:ec:74:98:49;-68 2c:cf:58:13:38:c4;-70 18:d2:76:e0:b2:52;-70 f4:ec:38:62:39:9a;-72 d0:76:e7:9f:aa:71;-74 4c:bb:58:e7:b5:3a;-75 dc:fe:18:9b:30:9e;-87 6c:3b:6b:c6:a3:29;-89 60:da:83:69:24:d0;-88 00:34:cb:64:27:43;-72 38:22:d6:d9:e1:d2;-74 00:34:cb:64:2a:8d;-80 06:69:6c:5c:a3:1a;-81 0a:9b:4b:97:6a:7d;-76, 
1545361245381,11,0,45,1,-2.0973208;3.763685;8.178593,-0.07574729;0.09896017;0.27977628,-20.5625;-12.875;-46.0625,1019.24805,5.0,298.0, , , , ,0
1545361245391,11,0,45,1,-1.8387469;3.6391866;8.283937,-0.07574729;0.09896017;0.27977628,-20.5625;-12.75;-46.375,1019.24805,5.0,298.0, , , , , 
1545361245401,11,0,45,1,-1.4460979;3.5242648;8.39886,-0.07574729;0.09896017;0.27977628,-20.5625;-12.75;-46.5,1019.24805,5.0,298.0, , , , , 
1545361245411,11,0,45,1,-1.292869;3.5242648;8.446744,-0.07574729;0.09896017;0.27977628,-20.125;-12.9375;-46.5,1019.24805,5.0,298.0, , , , , 
1545361245421,11,0,45,1,-1.2737153;3.5913026;8.580819,-0.07574729;0.09896017;0.27977628,-20.0;-13.375;-46.5,1019.24805,5.0,298.0, , , , , 
1545361245431,11,0,45,1,-1.3120226;3.667917;8.66701,-0.07574729;0.09896017;0.27977628,-20.0;-13.3125;-46.8125,1019.24805,5.0,298.0, , , , , 
1545361245441,11,0,45,1,-1.436521;3.6966474;8.743625,-0.07574729;0.09896017;0.27977628,-20.25;-13.5;-46.8125,1019.229,5.0,298.0, , , , , 
1545361245451,11,0,45,1,-1.532289;3.6966474;8.829816,-0.07574729;0.09896017;0.27977628,-20.25;-13.5;-46.625,1019.229,5.0,298.0, , , , , 
