time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543545599628,10,39,59,0,-0.24899697;4.414908;9.126697,0.2053729;-0.5023407;-0.26387632,10.1875;-46.0;-30.3125,1021.43896,5.0,6755.0, , , , , 
1543545599638,10,39,59,0,-1.6184803;4.012682;9.11712,0.2053729;-0.5023407;-0.26387632,10.1875;-45.25;-30.3125,1021.43896,5.0,6755.0, , , , , 
1543545599648,10,39,59,0,-1.5131354;4.1180267;8.954314,0.2053729;-0.5023407;-0.26387632,10.1875;-44.5;-29.5625,1021.43896,5.0,6755.0, , , ,22 d0:76:e7:89:1b:e7;-71 8c:a6:df:d3:aa:80;-81 0c:4b:54:07:1f:ec;-86 88:66:39:0a:eb:a8;-74 d4:a1:48:de:e7:84;-83 00:17:7b:0f:44:40;-76 00:17:7b:0f:44:38;-85 06:b0:e7:c0:05:60;-72 00:17:7b:0f:44:30;-84 4c:5e:0c:e0:10:c7;-79 1c:fa:68:aa:c6:a0;-62 a8:15:4d:46:94:b8;-64 06:74:9c:db:bc:a0;-69 00:26:7a:14:c5:5c;-76 80:89:17:d8:a9:42;-56 00:34:cb:68:dd:b0;-59 00:34:cb:68:e5:14;-53 d0:76:e7:89:1b:e5;-67 dc:fe:18:c1:1d:af;-77 88:66:39:0a:eb:a4;-64 20:6b:e7:ce:36:9d;-63 8a:25:93:41:4d:39;-54,0
1543545599658,10,39,59,0,-1.3694834;4.2425256;8.63828,0.2053729;-0.5023407;-0.26387632,10.1875;-45.25;-28.8125,1021.43896,5.0,6755.0, , , , , 
1543545599669,10,39,59,0,-1.340753;4.2999864;8.389283,0.2053729;-0.5023407;-0.26387632,8.75;-45.25;-29.5625,1021.43896,5.0,6755.0, , , , , 
1543545599679,10,39,59,0,-1.2258313;4.146757;8.39886,0.2053729;-0.5023407;-0.26387632,8.75;-45.25;-29.5625,1021.43896,5.0,6755.0, , , , , 
1543545599689,10,39,59,0,-1.0630256;4.0414124;8.39886,0.2053729;-0.5023407;-0.26387632,7.375;-46.6875;-30.3125,1021.43896,5.0,6755.0, , , , , 
1543545599699,10,39,59,0,-1.0630256;3.9935284;8.389283,0.2053729;-0.5023407;-0.26387632,7.375;-45.1875;-28.0625,1021.43896,5.0,6755.0, , , , , 
1543545599709,10,39,59,0,-1.0726024;3.7828386;8.456321,0.2053729;-0.5023407;-0.26387632,7.375;-45.9375;-28.8125,1021.43896,5.0,6755.0, , , , , 
1543545599719,10,39,59,0,-1.0821792;3.8498764;8.2169,0.2053729;-0.5023407;-0.26387632,8.0625;-45.9375;-26.5625,1021.43896,5.0,6755.0, , , , , 
