time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543542960842,9,56,0,0,-2.327164;3.1890767;8.465898,0.14917329;0.011990412;0.6023131,3.6875;-40.3125;-28.375,1021.792,5.0,4321.0, , , , , 
1543542960852,9,56,0,0,0.6607997;1.6663644;11.176133,0.14917329;0.011990412;0.6023131,-15.625;-30.875;-30.75,1021.792,5.0,4539.0, , , ,37 00:17:7b:0f:59:f8;-85 00:17:7b:0f:44:a8;-85 70:79:90:ba:bd:30;-87 00:34:cb:64:27:45;-81 00:34:cb:64:29:93;-74 00:34:cb:64:27:5d;-80 22:6b:e7:c1:51:15;-76 2c:b2:1a:ff:c9:09;-83 78:44:fd:4b:52:a7;-78 20:6b:e7:c1:51:15;-76 00:1f:7a:5d:f4:99;-87 a8:0c:ca:01:58:55;-77 70:65:82:ff:f4:92;-77 00:34:cb:64:29:7c;-50 70:65:82:ff:f4:9a;-69 00:34:cb:54:cc:da;-71 7c:76:68:c0:ac:ad;-74 c8:3a:35:b3:f3:88;-70 20:6b:e7:c1:50:30;-76 00:34:cb:68:e2:3d;-59 00:34:cb:68:e6:20;-58 38:22:d6:d8:d2:f2;-57 38:22:d6:d8:d2:f0;-59 2e:b2:1a:df:c9:09;-74 20:6b:e7:c1:51:14;-67 00:17:7b:0f:49:a1;-60 00:17:7b:0f:49:a0;-59 00:17:7b:fc:41:78;-58 d0:fa:1d:67:f7:2d;-71 00:34:cb:64:29:92;-63 00:34:cb:64:2a:c3;-78 00:34:cb:54:cc:a5;-86 00:34:cb:68:d7:99;-69 00:34:cb:68:d7:d4;-70 38:22:d6:d9:26:12;-66 8a:25:93:bb:bb:52;-74 b2:19:c6:0c:49:d8;-69, 
1543542960863,9,56,0,0,1.3599066;2.3558946;8.552089,0.14917329;0.011990412;0.6023131,-14.9375;-30.125;-30.75,1021.7876,5.0,4539.0, , , , , 
1543542960873,9,56,0,0,1.1683705;2.4133554;7.872135,0.14917329;0.011990412;0.6023131,-15.5625;-31.625;-30.0,1021.7876,5.0,4539.0, , , , ,0
1543542960884,9,56,0,0,1.2162545;2.5761611;7.9391727,0.14917329;0.011990412;0.6023131,-14.1875;-31.6875;-30.75,1021.7876,5.0,4539.0, , , , , 
1543542960894,9,56,0,0,1.2258313;2.633622;7.97748,0.14917329;0.011990412;0.6023131,-12.8125;-29.4375;-33.6875,1021.7876,5.0,4539.0, , , , , 
1543542960904,9,56,0,0,1.1875241;2.6431987;8.0924015,0.14917329;0.011990412;0.6023131,-14.9375;-30.1875;-28.5,1021.7876,5.0,4539.0, , , , , 
1543542960915,9,56,0,0,1.0726024;2.6144683;8.121132,0.14917329;0.011990412;0.6023131,-14.9375;-30.125;-33.0,1021.7876,5.0,4539.0, , , , , 
1543542960926,9,56,0,0,0.9959879;2.5091233;8.475474,0.14917329;0.011990412;0.6023131,-14.1875;-30.9375;-30.75,1021.7876,5.0,4539.0, , , , , 
1543542960936,9,56,0,0,0.80445176;2.4708161;8.887277,0.14917329;0.011990412;0.6023131,-12.0625;-31.6875;-31.5,1021.7876,5.0,4539.0, , , , , 
