time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543542637936,9,50,37,0,0.02873042;3.4093432;9.9790325,-0.18311994;-0.16758652;-0.52043974,-26.875;-6.5625;-42.75,1021.56445,5.0,10779.0, , , , , 
1543542637947,9,50,37,0,-2.0207062;4.6255975;9.078813,-0.18311994;-0.16758652;-0.52043974,31.1875;-10.1875;-40.9375,1021.56445,5.0,12958.0, , , , , 
1543542637956,9,50,37,0,-0.5363012;3.2273839;8.255207,-0.18311994;-0.16758652;-0.52043974,31.1875;-10.1875;-40.9375,1021.56445,5.0,12958.0, , , , , 
1543542637967,9,50,37,0,-0.9576807;3.7541082;8.025364,-0.18311994;-0.16758652;-0.52043974,30.5;-10.1875;-37.9375,1021.56445,5.0,12958.0, , , , , 
1543542637978,9,50,37,0,-0.9864111;3.9552212;8.37013,-0.18311994;-0.16758652;-0.52043974,30.5;-11.6875;-39.4375,1021.56445,5.0,12958.0, , , , ,0
1543542637989,9,50,37,0,-1.283292;3.8786068;7.699753,-0.18311994;-0.16758652;-0.52043974,29.75;-10.875;-38.6875,1021.56445,5.0,12958.0, , , ,28 78:44:fd:76:b2:97;-79 00:21:26:f0:9c:43;-87 dc:fe:18:33:73:4c;-82 00:34:cb:54:cc:19;-50 34:96:72:be:87:0f;-79 00:34:cb:54:cc:17;-77 6c:3b:6b:c6:a3:29;-87 34:8f:27:05:a6:9c;-82 d0:ee:07:42:d3:7e;-84 fc:7c:02:07:37:e3;-74 00:34:cb:54:cc:18;-47 ec:6c:9f:9f:ed:bf;-74 34:96:72:be:87:0d;-76 34:8f:27:05:a6:98;-67 0a:44:fd:38:ea:e9;-73 d4:ee:07:42:d3:7e;-74 00:17:7b:fc:41:78;-60 78:44:fd:41:5e:2f;-76 00:34:cb:68:df:b1;-65 00:17:7b:0f:49:a1;-78 00:17:7b:0f:49:a0;-81 00:34:cb:68:d9:85;-60 94:b4:0f:c8:a3:32;-91 a8:0c:ca:11:58:55;-84 9c:06:1b:51:4a:10;-80 38:22:d6:d8:d2:f2;-76 38:22:d6:d8:d2:f0;-76 2c:b2:1a:3e:19:2e;-87, 
1543542637999,9,50,37,0,-0.9672575;4.0892963;8.169016,-0.18311994;-0.16758652;-0.52043974,30.4375;-10.1875;-38.6875,1021.56445,5.0,12958.0, , , , , 
1543542638010,9,50,38,0,-1.0151415;3.6966474;8.255207,-0.18311994;-0.16758652;-0.52043974,31.875;-9.4375;-37.9375,1021.56445,5.0,12958.0, , , , , 
1543542638020,9,50,38,0,-0.9672575;3.3901896;8.312668,-0.18311994;-0.16758652;-0.52043974,30.4375;-8.6875;-39.4375,1021.56445,5.0,12958.0, , , , , 
1543542638030,9,50,38,0,-0.80445176;3.2369606;8.408437,-0.18311994;-0.16758652;-0.52043974,31.1875;-10.9375;-37.9375,1021.56445,5.0,12958.0, , , , , 
1543542638040,9,50,38,0,-0.62249243;3.064578;8.303091,-0.18311994;-0.16758652;-0.52043974,31.1875;-10.9375;-37.9375,1021.56445,5.0,12958.0, , , , , 
1543542638052,9,50,38,0,-0.545878;3.0262709;8.197746,-0.18311994;-0.16758652;-0.52043974,31.875;-10.1875;-40.9375,1021.56445,5.0,12958.0, , , , , 
