time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543541847605,9,37,27,1,0.1436521;4.10845;8.896853,1.2217305E-4;-2.0943952E-4;0.0,-30.3125;11.9375;-28.0625,0.0,0.0,65.0, , , ,96 00:9a:cd:8d:13:b8;-78 00:9a:cd:fd:13:b8;-81 00:be:3b:b8:8c:d8;-79 00:be:3b:f8:8c:d8;-79 88:11:96:03:7e:4b;-87 00:be:3b:b8:8c:da;-79 f4:83:cd:a8:8a:cb;-74 70:3d:15:8b:52:01;-77 70:3d:15:8b:52:00;-77 50:da:00:a3:21:20;-87 70:3d:15:8b:38:20;-70 70:3d:15:8b:47:50;-78 70:3d:15:8b:52:81;-73 70:3d:15:8b:47:51;-78 70:3d:15:8b:52:80;-73 70:3d:15:8b:51:f1;-72 70:3d:15:8b:51:f0;-72 34:96:72:c5:c1:f0;-68 d4:61:fe:61:53:81;-79 d4:61:fe:61:53:80;-80 70:3d:15:8b:50:21;-73 70:3d:15:8b:50:20;-73 d4:61:fe:61:53:91;-85 d4:61:fe:61:53:90;-84 70:3d:15:8b:3f:f0;-56 70:3d:15:8b:63:41;-66 50:da:00:a3:21:10;-84 70:3d:15:8b:3f:f1;-57 70:3d:15:8b:63:31;-62 70:3d:15:8b:52:90;-81 70:3d:15:8b:47:41;-75 70:3d:15:8b:63:30;-66 70:3d:15:8b:63:40;-65 70:3d:15:8b:38:11;-67 70:3d:15:8b:47:40;-74 70:3d:15:8b:38:10;-67 08:10:79:99:81:c6;-88 70:3d:15:8b:39:61;-84 70:3d:15:8b:39:60;-85 70:3d:15:8b:43:f0;-78 70:3d:15:8b:43:f1;-79 70:3d:15:8b:8d:f1;-69 70:3d:15:8b:8e:01;-62 70:3d:15:8b:8e:00;-64 70:3d:15:8b:43:e1;-70 50:da:00:a3:0c:10;-75 70:3d:15:8b:43:e0;-71 50:da:00:a3:0c:20;-80 70:3d:15:8b:50:11;-61 70:3d:15:8b:40:00;-51 70:3d:15:8b:50:10;-61 32:cd:a7:1d:e0:41;-77 70:3d:15:8b:52:10;-61 70:3d:15:8b:38:35;-65 70:3d:15:8b:38:31;-67 70:3d:15:8b:38:30;-66 70:3d:15:8b:52:15;-58 70:3d:15:8b:52:11;-63 b0:e5:ed:e3:22:8c;-67 50:da:00:a3:0c:30;-68 34:96:72:c5:c1:ee;-64 00:9a:cd:8d:13:b4;-63 b0:e5:ed:e3:22:8d;-65 88:25:93:82:a6:4d;-65 70:3d:15:8b:38:04;-82 70:3d:15:8b:38:00;-76 70:3d:15:8b:8e:15;-63 70:3d:15:8b:8e:11;-63 70:3d:15:8b:50:31;-64 70:3d:15:8b:50:30;-65 00:be:3b:b8:8c:d4;-66 00:34:cb:68:d9:9f;-81 80:89:17:10:b9:eb;-76 00:be:3b:b8:8c:d9;-66 c8:3a:35:2a:0e:c0;-41 f4:83:cd:5e:9d:4d;-82 b2:52:16:b7:ef:7f;-76 ec:26:ca:cd:a5:c8;-40 70:3d:15:8b:44:05;-60 70:3d:15:8b:44:01;-60 70:3d:15:8b:44:00;-59 70:3d:15:8b:63:55;-51 70:3d:15:8b:63:51;-48 70:3d:15:8b:63:50;-49 70:3d:15:8b:39:21;-82 70:3d:15:8b:40:15;-57 70:3d:15:8b:40:11;-59 70:3d:15:8b:40:10;-58 24:69:68:c8:c0:26;-72 bc:46:99:9f:1a:cc;-77 dc:fe:18:50:d3:8d;-84 00:34:cb:68:df:5e;-78 08:10:79:99:81:c4;-79 88:25:93:3d:d4:1f;-80 84:1b:5e:e6:42:3e;-81 b0:95:8e:51:f6:c5;-71,0
1543541847616,9,37,27,1,0.076614454;4.0414124;8.954314,1.2217305E-4;-2.0943952E-4;0.0,-31.0;9.75;-30.3125,0.0,0.0,65.0, , , , , 
1543541847626,9,37,27,1,0.0;3.9456444;9.088389,1.2217305E-4;-2.0943952E-4;0.0,-29.625;11.9375;-28.0625,0.0,0.0,65.0, , , , , 
1543541847639,9,37,27,1,0.0;3.9073372;9.11712,1.2217305E-4;-2.0943952E-4;0.0,-30.3125;11.9375;-25.875,0.0,0.0,65.0, , , , , 
1543541847650,9,37,27,1,-0.06703765;3.821146;9.260772,1.2217305E-4;-2.0943952E-4;0.0,-29.5625;11.1875;-28.8125,0.0,0.0,65.0, , , , , 
1543541847660,9,37,27,1,-0.1436521;3.8019924;9.3661175,1.2217305E-4;-2.0943952E-4;0.0,-28.875;9.6875;-29.5625,0.0,0.0,65.0, , , , , 
1543541847670,9,37,27,1,-0.20111294;3.7445314;9.3661175,0.16749924;-0.17736036;-0.582748,-28.1875;10.375;-29.5625,0.0,0.0,65.0, , , , , 
1543541847680,9,37,27,1,-0.21068975;3.6391866;9.155427,0.22736403;-0.1468171;-0.59374356,-30.25;10.4375;-28.0625,0.0,0.0,65.0, , , , , 
1543541847690,9,37,27,1,-0.36391866;3.7253778;8.983045,0.25424212;-0.12482595;-0.6035174,-28.1875;10.375;-28.8125,1026.4292,0.0,65.0, , , , , 
1543541847701,9,37,27,1,-0.50757074;3.7924154;8.8777,0.2823419;-0.08817403;-0.6035174,-28.875;11.125;-26.625,1026.4292,0.0,65.0, , , , , 
1543541847711,9,37,27,1,-0.7565677;3.86903;8.839393,0.28112018;-0.08939576;-0.58641315,-30.3125;11.9375;-29.5625,1026.4292,0.0,65.0, , , , , 
1543541847721,9,37,27,1,-0.8619126;3.916914;8.791509,0.2652377;-0.10405653;-0.55464816,-28.875;9.6875;-28.8125,1026.4292,0.0,65.0, , , , , 
1543541847732,9,37,27,1,-0.92895025;3.964798;8.7532015,0.24202481;-0.13948672;-0.5143311,-28.9375;12.625;-28.0625,1026.4292,0.0,65.0, , , , , 
1543541847742,9,37,27,1,-0.8523358;3.8977604;8.66701,0.2175902;-0.1749169;-0.48867473,-28.875;11.1875;-27.3125,1026.4292,0.0,65.0, , , , , 
1543541847753,9,37,27,1,-0.7565677;3.8402996;8.580819,0.18704693;-0.20912535;-0.48134434,-26.75;11.125;-27.3125,1026.4292,0.0,65.0, , , , , 
1543541847763,9,37,27,1,-0.7278373;3.8115692;8.580819,0.18704693;-0.20912535;-0.4837878,-28.875;10.4375;-27.3125,1026.4292,0.0,65.0, , , , , 
1543541847773,9,37,27,1,-0.8523358;3.9073372;8.695741,0.15772541;-0.26165977;-0.47279224,-28.8125;9.6875;-27.3125,1026.4292,0.0,65.0, , , , , 
1543541847784,9,37,27,1,-0.92895025;3.9456444;8.762778,0.16627751;-0.2592163;-0.46179667,-28.8125;9.6875;-27.3125,1026.4292,5.0,65.0, , , , , 
1543541847794,9,37,27,1,-0.9576807;3.9935284;8.791509,0.17605136;-0.25432938;-0.44835764,-27.4375;8.875;-28.0625,1022.3828,5.0,65.0, , , , , 
1543541847804,9,37,27,1,-0.9864111;4.0414124;8.7053175,0.20048597;-0.23600341;-0.39337975,-28.125;8.875;-26.5625,1022.3828,5.0,65.0, , , , , 
1543541847815,9,37,27,1,-0.8714894;4.0414124;8.647857,0.1858252;-0.23844688;-0.3432888,-28.125;10.375;-26.5625,1022.3828,5.0,65.0, , , , , 
1543541847825,9,37,27,1,-0.7278373;3.9935284;8.628703,0.14917329;-0.2714336;-0.30908036,-28.125;10.375;-26.5625,1022.3828,5.0,65.0, , , , , 
