time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543543367587,10,2,47,0,2.873042;3.323152;10.5440645,1.1729834;1.5953531;0.15882497,-16.0625;20.1875;-45.0625,1021.7637,5.0,5033.0,18 1;2;40.246498107910156;false;NaN;0;300.1026416799109 1;5;27.607568740844727;false;NaN;0;141.91507161268885 1;6;20.11544418334961;false;NaN;0;594.3478042168986 1;7;24.903583526611328;false;NaN;0;82.42120414024822 1;13;41.056976318359375;false;NaN;0;-374.43722917020386 1;15;27.233570098876953;false;NaN;0;-677.0111216076707 1;21;14.423871040344238;false;NaN;0;-582.8375451649281 1;29;37.11310958862305;false;NaN;0;-32.62224905708243 1;30;32.408138275146484;false;NaN;0;-216.96878189438485 3;2;29.197872161865234;false;NaN;0;568.4380481086059 3;18;31.14719581604004;false;NaN;0;17.091731006434635 3;19;32.28487777709961;false;NaN;0;-677.0232549621928 3;17;25.297780990600586;false;NaN;0;674.8537021097768 3;3;37.20069885253906;false;NaN;0;43.06754637100585 3;4;35.76959991455078;false;NaN;0;-548.8420329887074 4;193;20.491748809814453;false;NaN;0;7.391743526368202 4;194;27.47689437866211;false;NaN;0;-123.97398981355428 4;195;17.408489227294922;false;NaN;1;38.02393924861906, , , , 
1543543367596,10,2,47,0,1.9440918;3.7924154;11.204864,1.3941166;1.7419608;0.042760566,-13.9375;20.9375;-45.6875,1021.7637,5.0,5033.0, , , , , 
1543543367606,10,2,47,0,1.484405;4.050989;11.252748,1.6213585;1.809156;-0.05129523,-15.375;20.9375;-44.3125,1021.7637,5.0,5033.0, , , , , 
1543543367616,10,2,47,0,0.7565677;4.4915223;10.486604,1.8058398;1.8665773;-0.11482521,-13.9375;20.9375;-47.1875,1021.7637,5.0,5033.0, , , , , 
1543543367626,10,2,47,0,0.10534488;4.721366;9.758766,1.8986913;1.9166682;-0.12948598,-12.4375;17.125;-46.4375,1021.7637,5.0,5033.0, , , , , 
1543543367636,10,2,47,0,-0.7374141;4.663905;8.283937,1.7911791;1.9215552;-0.109938286,-12.5;18.625;-47.1875,1021.7622,5.0,5033.0, , , , , 
1543543367646,10,2,47,0,-1.5227122;4.5394063;7.144298,1.4955202;1.91789;-0.063512534,-12.5;17.875;-48.6875,1021.7622,5.0,5033.0, , , , , 
1543543367657,10,2,47,0,-2.1164744;4.3478703;6.9144545,1.0202671;1.8763511;0.021991149,-11.75;15.625;-47.1875,1021.7622,5.0,5033.0, , , , , 
1543543367667,10,2,47,0,-2.8060043;4.0797195;8.599973,0.33976325;1.7053088;0.18570304,-11.0;15.625;-50.125,1021.7622,5.0,5033.0, , , , , 
1543543367678,10,2,47,0,-2.920926;3.6966474;10.515334,-0.04872959;1.4621844;0.31642818,-7.4375;14.0625;-48.625,1021.7622,5.0,5033.0, , , , , 
1543543367688,10,2,47,0,-2.7964275;2.633622;13.512875,-0.23687609;1.1445346;0.4178318,-8.1875;14.8125;-50.875,1021.7622,5.0,5033.0, , , , , 
1543543367698,10,2,47,0,-2.4708161;1.9057846;15.284584,-0.21977186;0.7743502;0.4801401,-6.75;14.75;-49.375,1021.7622,5.0,5033.0, , , , , 
1543543367708,10,2,47,0,-1.8866309;0.9864111;16.893488,-0.0071907565;0.39439204;0.48747045,-7.5;15.5625;-50.125,1021.7622,5.0,5033.0, , , , , 
1543543367718,10,2,47,0,-1.5131354;0.5363012;16.960526,0.44116688;0.014433873;0.45204028,-5.375;16.25;-49.375,1021.7622,5.0,5033.0, , , , , 
1543543367727,10,2,47,0,-1.1204864;0.35434186;15.47612,0.8150164;-0.13704325;0.4178318,-7.5;15.5625;-48.625,1021.77,5.0,5033.0, , , , , 
1543543367738,10,2,47,0,-1.0534488;0.36391866;14.279019,1.0911275;-0.20179497;0.408058,-5.375;15.5;-48.625,1021.77,5.0,5033.0, , , , , 
1543543367748,10,2,47,0,-0.93852705;0.48841715;12.497733,1.2462872;-0.2592163;0.4166101,-6.75;14.75;-49.375,1021.77,5.0,5033.0, , , , , 
1543543367758,10,2,47,0,-0.81402856;0.6799533;11.492168,1.2951565;-0.33007666;0.4251622,-6.6875;12.5625;-49.375,1021.77,5.0,5033.0, , , , , 
1543543367768,10,2,47,0,-0.46926352;0.94810385;10.457873,1.2401786;-0.48157126;0.43004912,-6.75;13.3125;-50.125,1021.77,5.0,5033.0, , , , , 
1543543367778,10,2,47,0,-0.25857377;1.1013328;9.950302,1.1571009;-0.64283967;0.41538835,-8.125;12.5625;-50.8125,1021.77,5.0,5033.0, , , , , 
1543543367788,10,2,47,0,0.019153614;1.3694834;9.385271,1.0911275;-0.8004429;0.39584067,-7.4375;11.8125;-50.0625,1021.77,5.0,5033.0, , , , , 
