time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543544172885,10,16,12,0,-0.89064306;3.6870706;8.714894,-0.0035255651;-0.11260864;0.58276546,37.125;4.0;-44.6875,1021.73,5.0,11916.0, , , , , 
1543544172897,10,16,12,0,-0.02873042;2.7389667;8.676587,-0.0035255651;-0.11260864;0.58276546,37.875;3.25;-43.9375,1021.73,5.0,11916.0, , , , , 
1543544172906,10,16,12,0,-0.62249243;3.2944214;8.24563,-0.3895924;0.5031261;0.10262536,36.4375;4.0;-42.5,1021.73,5.0,11916.0, , , , , 
1543544172916,10,16,12,0,-0.59376204;3.6296098;7.9870567,-0.42746603;0.63507295;0.14049901,38.5625;5.4375;-41.0,1021.73,5.0,11916.0, , , , , 
1543544172926,10,16,12,0,-0.94810385;3.763685;8.169016,-0.45556584;0.79145443;0.28710666,39.25;6.1875;-41.75,1023.9385,5.0,11916.0, , , , , 
1543544172936,10,16,12,0,-1.6472107;3.8881836;8.494628,-0.45923102;0.83299327;0.5021312,39.25;6.1875;-41.75,1023.9385,5.0,11916.0, , , , , 
1543544172947,10,16,12,0,-1.7046716;3.7349546;8.561666,-0.47022662;0.76091117;0.7611381,39.9375;5.4375;-41.6875,1023.9385,5.0,11811.0, , , , , 
1543544172957,10,16,12,0,-1.9057846;3.3135753;8.178593,-0.4934395;0.7022681;0.9627236,39.25;6.1875;-41.75,1023.9385,5.0,11811.0, , , , , 
1543544172967,10,16,12,0,-2.0015526;3.1507695;7.8912888,-0.5252045;0.6986029;1.073901,40.6875;4.625;-41.6875,1023.9385,5.0,11811.0, , , , , 
1543544172977,10,16,12,0,-1.7238252;3.1603463;7.8050976,-0.5814041;0.83299327;1.1239921,40.0;3.9375;-40.25,1023.9385,5.0,11811.0, , , , , 
1543544172988,10,16,12,0,-1.3311762;3.2369606;8.350976,-0.62782985;0.9087406;1.0763445,40.75;3.125;-39.5,1023.9385,5.0,11811.0, , , , , 
1543544172997,10,16,12,0,-1.0151415;3.2848446;8.781932,-0.66081655;0.92217964;0.9260717,42.125;3.875;-38.0,1023.9385,5.0,11811.0, , , , , 
1543544173008,10,16,13,0,-0.7278373;3.1411927;9.021352,-0.6693687;0.9050754;0.68294734,42.8125;3.125;-40.9375,1023.9385,5.0,11811.0, , , , , 
1543544173019,10,16,13,0,-2.0111294;2.6623523;8.724471,-0.6559296;0.81833255;0.52412236,41.4375;2.375;-39.5,1023.9385,5.0,11811.0, , , , , 
1543544173030,10,16,13,0,-1.8483237;2.7389667;8.42759,-0.62782985;0.80000657;0.4605924,42.875;3.125;-38.0,1022.1538,5.0,11811.0, , , , , 
1543544173040,10,16,13,0,-1.541866;2.7006595;8.159439,-0.60950387;0.84887576;0.38362336,42.8125;3.8125;-37.25,1022.1538,5.0,11811.0, , , , , 
1543544173050,10,16,13,0,-1.7046716;2.4995465;7.9487495,-0.6168343;0.897745;0.3359759,43.5625;3.0625;-35.75,1022.1538,5.0,11811.0, , , , , 
1543544173061,10,16,13,0,-1.7429788;2.4516625;7.8050976,-0.64126885;0.9576098;0.31887165,43.5625;3.0625;-35.75,1022.1538,5.0,11811.0, , , , , 
1543544173071,10,16,13,0,-1.7717092;2.2697031;7.632715,-0.69746846;1.0406874;0.2932153,44.9375;3.8125;-36.5,1022.1538,5.0,11811.0, , , , , 
1543544173082,10,16,13,0,-1.7142484;2.1739352;7.479486,-0.7915417;1.178743;0.20769417,44.25;4.5625;-36.5,1022.1538,5.0,11811.0, , , , , 
1543544173093,10,16,13,0,-1.6376339;2.1260512;7.393295,-0.85384995;1.1934037;0.12705997,44.3125;3.0625;-35.0,1022.1538,5.0,11811.0, , , , , 
1543544173102,10,16,13,0,-1.5035586;2.0207062;7.3166804,-0.885615;1.1848516;0.08307767,43.5;5.3125;-35.0,1022.1538,5.0,11811.0, , , , , 
1543544173113,10,16,13,0,-1.6089035;1.8674773;7.1155677,-0.9149365;1.2972509;0.0012217305,44.3125;3.0625;-34.25,1022.1538,5.0,11811.0, , , , , 
1543544173124,10,16,13,0,-1.2066777;1.3790601;6.9240313,-0.7304552;1.8262602;-0.11238175,46.375;5.25;-30.5625,1022.1538,5.0,11811.0, , , , , 
1543544173133,10,16,13,0,-1.1109096;0.92895025;7.3645644,-0.59973;1.9472115;-0.21134192,45.6875;5.25;-31.3125,1021.6929,5.0,11811.0, , , , , 
1543544173143,10,16,13,0,-1.5035586;0.8714894;7.2592196,-0.48733082;2.0425065;-0.28098056,48.5;5.9375;-32.0,1021.6929,5.0,11811.0, , , , , 
1543544173153,10,16,13,0,-1.7525556;0.89064306;6.933608,-0.4494572;2.1659012;-0.2907544,47.8125;5.1875;-29.8125,1021.6929,5.0,11811.0, , , , , 
1543544173163,10,16,13,0,-1.8866309;0.7469909;6.646304,-0.44823545;2.2062182;-0.2907544,46.375;6.6875;-29.0625,1021.6929,5.0,11811.0, , , , , 
1543544173173,10,16,13,0,-2.1547816;0.51714754;6.493075,-0.58995616;2.4273515;-0.28831095,47.75;6.6875;-28.3125,1021.6929,5.0,11811.0, , , , , 
1543544173183,10,16,13,0,-2.8443117;0.38307226;6.8569937,-0.7829896;2.4236863;-0.28831095,50.6875;4.375;-27.5625,1021.6929,5.0,11811.0, , , , , 
1543544173193,10,16,13,0,-3.3901896;0.32561144;7.374141,-0.9063844;2.3540478;-0.2944196,49.25;5.125;-23.8125,1021.6929,5.0,11811.0, , , , , 
1543544173203,10,16,13,0,-3.9073372;0.10534488;8.350976,-1.3999635;1.9007857;-0.4508011,50.625;6.625;-24.5625,1021.6929,5.0,11811.0, , , , , 
1543544173213,10,16,13,0,-5.3342814;1.5610195;10.065224,-1.5575668;1.6857612;-0.43736205,49.875;8.125;-22.375,1021.6929,5.0,11811.0, , , , , 
1543544173223,10,16,13,0,-4.453215;1.1683705;12.555194,-1.5282452;1.0993305;-0.3677234,49.1875;9.625;-21.625,1021.6284,5.0,11811.0, , , , , 
1543544173233,10,16,13,0,-4.175488;0.9672575;13.034034,-1.4366155;0.86598;-0.37016687,50.625;8.0625;-18.625,1021.6284,5.0,11811.0, , , , , 
1543544173245,10,16,13,0,-3.5625722;0.92895025;13.838486,-1.0762049;0.33697072;-0.36405823,49.875;8.875;-23.125,1021.6284,5.0,11811.0, , , , , 
1543544173255,10,16,13,0,-3.5817258;1.5131354;13.8480625,-0.7548898;-0.018535396;-0.35428438,49.1875;9.625;-19.375,1021.6284,5.0,11811.0, , , , , 
1543544173264,10,16,13,0,-3.620033;1.8100165;13.857639,-0.4824439;-0.42292818;-0.37261033,50.625;8.8125;-20.875,1021.6284,5.0,11811.0, , , , , 
1543544173274,10,16,13,0,-3.6008794;2.2505496;13.215993,-0.19655898;-0.9311681;-0.4630184,50.625;8.8125;-20.875,1021.6284,5.0,11811.0, , , , , 
1543544173284,10,16,13,0,-3.5434184;2.3558946;12.98615,-0.11836823;-1.0435673;-0.49600512,48.4375;11.125;-20.125,1021.6284,5.0,11811.0, , , , , 
1543544173294,10,16,13,0,-3.4093432;2.2505496;12.813767,-0.037734017;-1.1254232;-0.5351005,50.5625;11.0625;-21.625,1021.6284,5.0,8037.0, , , , , 
