time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1545360296282,10,44,56,1,0.038307227;2.9496565;8.6574335,-0.05742133;-0.12339478;-0.34330627,-14.375;-6.375;-25.125,1019.46875,5.0,383.0, , , , , 
1545360296292,10,44,56,1,-0.9768343;3.7445314;9.385271,-0.05742133;-0.12339478;-0.34330627,-14.3125;-13.125;-24.5,1019.46875,5.0,327.0, , , , , 
1545360296303,10,44,56,1,-1.0342951;3.7924154;9.500193,-0.05742133;-0.12339478;-0.34330627,-14.3125;-12.8125;-24.6875,1019.46875,5.0,327.0, , , , , 
1545360296314,10,44,56,1,-1.1013328;3.7541082;9.720459,-0.05742133;-0.12339478;-0.34330627,-14.1875;-13.125;-24.8125,1019.46875,5.0,327.0, , , ,178 04:bd:88:c4:cf:d4;-67 04:bd:88:c4:cf:d2;-67 04:bd:88:c4:cf:d1;-67 04:bd:88:c4:cf:d3;-66 04:bd:88:c4:cf:d0;-66 f4:83:cd:d8:ab:6c;-66 04:bd:88:c4:cf:d5;-67 84:d4:7e:11:e5:d0;-67 84:d4:7e:11:e5:d2;-67 84:d4:7e:11:e5:d4;-57 04:bd:88:c4:d5:90;-76 84:d4:7e:11:d8:b0;-72 84:d4:7e:11:d8:b1;-72 04:bd:88:c4:d5:91;-76 04:bd:88:c4:d5:95;-76 84:d4:7e:11:e5:d5;-67 84:d4:7e:11:e5:d3;-67 84:d4:7e:11:e5:d1;-67 84:d4:7e:11:d8:b3;-73 84:d4:7e:11:d8:b5;-73 04:bd:88:c4:d5:94;-76 04:bd:88:c4:d5:92;-76 84:d4:7e:11:d8:b2;-72 84:d4:7e:11:d8:b4;-73 f4:83:cd:d8:ab:6a;-59 04:bd:88:c4:d8:52;-66 04:bd:88:c4:d5:93;-77 b0:f9:63:46:2a:40;-83 04:bd:88:c4:cb:12;-78 04:bd:88:c4:cb:13;-77 b4:5d:50:1d:39:51;-69 b4:5d:50:1d:39:52;-69 b4:5d:50:1d:39:53;-69 04:71:4b:26:25:58;-68 04:bd:88:c4:cb:14;-77 50:64:2b:ca:0a:dd;-82 78:8a:20:5e:f5:2b;-79 78:8a:20:5e:f1:ef;-72 54:b1:21:4c:7a:7d;-62 7a:8a:20:5e:f1:ef;-74 94:b4:0f:63:9f:f3;-83 00:1f:7a:4b:61:93;-60 94:b4:0f:63:9f:f2;-82 28:f3:66:4b:aa:ee;-49 04:71:4b:26:25:50;-57 b8:f8:83:2d:5c:41;-46 00:1f:7a:4b:61:90;-58 0c:4b:54:12:15:cc;-37 0c:4b:54:12:15:43;-52 94:b4:0f:63:9f:f1;-82 00:1f:7a:4b:61:91;-61 60:cd:a9:01:0e:a3;-41 ac:74:09:96:4a:41;-76 ac:74:09:96:4a:40;-76 04:bd:88:c4:cb:15;-77 be:f8:83:2d:5c:41;-46 04:bd:88:c4:cb:11;-78 04:bd:88:c4:cb:10;-77 ea:cb:ac:32:f2:13;-72 e6:cb:ac:32:f2:13;-72 00:90:4c:91:00:01;-50 d2:c0:bf:c8:fd:fe;-78 b0:f9:63:46:1b:e0;-77 00:1f:7a:42:6a:08;-72 60:cd:a9:01:0e:9e;-63 00:1f:7a:42:6a:09;-72 0c:4b:54:12:15:4b;-57 0c:4b:54:12:14:6e;-58 b0:f9:63:46:5b:c0;-78 60:cd:a9:01:0e:99;-63 60:cd:a9:01:8a:ea;-81 60:cd:a9:01:8b:4e;-79 60:cd:a9:01:8a:38;-79 0c:4b:54:12:1e:2d;-64 b0:f9:63:46:1e:a0;-70 b0:f9:63:46:1b:a0;-79 60:cd:a9:01:0f:0f;-62 0c:4b:54:12:0f:ac;-57 7a:8a:20:5e:f5:2b;-74 00:1f:7a:a2:5b:08;-85 00:1f:7a:a2:5b:09;-87 9c:2e:a1:98:c6:b9;-63 0c:4b:54:12:1d:6e;-62 60:cd:a9:01:02:03;-60 60:cd:a9:01:8c:26;-81 60:cd:a9:01:0e:32;-60 90:8d:78:cf:ac:b7;-86 50:64:2b:c2:bc:26;-66 94:d9:b3:76:ad:f3;-63 60:cd:a9:01:89:64;-88 48:7d:2e:5e:87:93;-86 50:fa:84:66:d1:11;-85 50:fa:84:5f:85:b1;-85 ec:d0:9f:b9:33:a9;-67 f0:b4:29:d8:ec:b3;-86 50:fa:84:69:8c:3d;-88 ac:74:09:96:51:60;-88 0c:4b:54:12:14:72;-58 0c:70:4a:6f:00:7e;-62 04:bd:88:c4:d8:53;-67 50:64:2b:c2:bc:27;-80 04:bd:88:c4:d8:51;-68 04:bd:88:c4:d8:54;-68 04:bd:88:c4:d8:55;-68 04:bd:88:c4:d8:50;-68 94:d9:b3:55:a2:a3;-74 b0:f9:63:46:20:40;-85 00:1f:7a:42:6a:01;-62 6c:b7:49:58:82:01;-62 98:9c:57:9c:12:cd;-65 b0:f9:63:46:66:60;-87 d8:38:fc:e9:f7:4d;-87 b0:f9:63:46:1b:00;-87 0c:4b:54:12:15:30;-58 74:1e:93:63:79:b0;-87 0c:4b:54:12:15:f2;-56 0c:4b:54:12:15:94;-59 ac:74:09:96:4a:31;-61 60:cd:a9:01:10:4e;-63 d8:38:fc:29:f7:4e;-87 0c:4b:54:12:15:46;-53 60:da:83:69:6f:c0;-86 d8:38:fc:29:f7:4c;-86 d8:38:fc:a9:f7:4e;-88 d8:38:fc:a9:f7:4d;-90 d8:38:fc:a9:f7:4c;-88 d8:38:fc:69:f7:4d;-87 60:da:83:69:6f:c1;-82 d8:38:fc:e9:f7:4c;-88 d8:38:fc:29:f7:4d;-87 d8:38:fc:69:f7:4c;-88 d8:38:fc:69:f7:4e;-87 d8:24:bd:59:23:70;-68 0a:25:93:a8:c7:6a;-73 dc:fe:18:e5:2b:cf;-87 60:cd:a9:01:0e:06;-65 60:cd:a9:01:0e:9c;-69 60:cd:a9:01:0e:31;-64 60:cd:a9:01:0e:9f;-64 30:eb:1f:03:77:2a;-66 0c:4b:54:12:15:38;-56 d8:24:bd:84:66:e0;-57 50:fa:84:5f:85:b0;-67 d8:24:bd:59:1e:20;-68 48:98:ca:45:3d:7b;-65 b0:f9:63:46:5a:60;-74 f0:b4:29:d1:35:65;-82 94:d9:b3:7c:3f:e4;-85 50:fa:84:84:e0:73;-86 60:cd:a9:01:8b:4d;-62 06:69:6c:73:43:28;-82 60:cd:a9:01:8a:70;-85 0c:4b:54:12:14:96;-60 0c:4b:54:12:1e:21;-67 0c:4b:54:12:16:0f;-62 00:1f:7a:42:6a:00;-65 b0:f9:63:46:5a:70;-66 04:bd:88:c4:d7:d1;-87 dc:fe:18:db:92:bc;-88 60:cd:a9:01:02:00;-61 0c:4b:54:12:12:ff;-60 74:1e:93:63:79:b1;-65 e6:cb:ac:33:1a:21;-84 ea:cb:ac:33:1a:21;-85 78:44:fd:33:8d:d7;-87 50:fa:84:62:8b:cb;-88 b0:f9:63:46:20:a0;-89 e6:cb:ac:32:f2:2c;-90 60:cd:a9:01:8b:97;-67 60:cd:a9:01:8a:37;-68 60:cd:a9:01:8a:e9;-70 ec:6c:9f:36:ec:4c;-70 ac:74:09:96:51:61;-88 9a:d9:b3:7c:3f:e4;-84 50:fa:84:66:d1:13;-85 ec:6c:9f:9f:2d:a8;-87 60:cd:a9:01:0e:a4;-67 06:69:6c:73:43:78;-85,0
1545360296324,10,44,56,1,-1.0630256;3.6296098;9.548077,-0.05742133;-0.12339478;-0.34330627,-13.25;-13.25;-24.9375,1019.46875,5.0,327.0, , , , , 
1545360296333,10,44,56,1,-1.1109096;3.6008794;9.548077,-0.05742133;-0.12339478;-0.34330627,-13.25;-13.25;-24.9375,1019.4658,5.0,327.0, , , , , 
1545360296344,10,44,56,1,-1.1204864;3.6296098;9.576807,-0.05742133;-0.12339478;-0.34330627,-13.0;-13.125;-24.8125,1019.4658,5.0,327.0, , , , , 
1545360296354,10,44,56,1,-1.13964;3.6487634;9.56723,-0.05742133;-0.12339478;-0.34330627,-12.8125;-13.5625;-25.0625,1019.4658,5.0,327.0, , , , , 
1545360296364,10,44,56,1,-1.1587936;3.6583402;9.461885,-0.05742133;-0.12339478;-0.34330627,-13.0;-13.4375;-24.9375,1019.4658,5.0,327.0, , , , , 
1545360296374,10,44,56,1,-1.1109096;3.620033;9.337387,-0.05742133;-0.12339478;-0.34330627,-13.375;-13.4375;-24.8125,1019.4658,5.0,327.0, , , , , 
1545360296384,10,44,56,1,-0.94810385;3.5434184;9.107543,-0.05742133;-0.12339478;-0.34330627,-13.5;-13.25;-24.8125,1019.4658,5.0,327.0, , , , , 
1545360296394,10,44,56,1,-0.8331822;3.4572272;8.925584,-0.05742133;-0.12339478;-0.34330627,-13.5;-13.25;-24.8125,1019.4658,5.0,327.0, , , , , 
1545360296404,10,44,56,1,-0.7469909;3.3806129;8.762778,-0.05742133;-0.12339478;-0.34330627,-13.9375;-13.6875;-24.5,1019.4658,5.0,327.0, , , , , 
1545360296414,10,44,56,1,-0.80445176;3.3423057;8.781932,-0.05742133;-0.12339478;-0.34330627,-14.1875;-14.0;-24.0625,1019.4658,5.0,327.0, , , , , 
1545360296424,10,44,56,1,-0.90021986;3.3135753;8.954314,-0.05742133;-0.12339478;-0.34330627,-14.4375;-14.0;-23.8125,1019.4658,5.0,327.0, , , , , 
1545360296434,10,44,56,1,-0.92895025;3.2561142;9.030929,-0.05742133;-0.12339478;-0.34330627,-14.6875;-14.375;-23.375,1019.4756,5.0,327.0, , , , , 
1545360296445,10,44,56,1,-0.94810385;3.083732;9.078813,-0.05742133;-0.12339478;-0.34330627,-14.8125;-14.375;-23.6875,1019.4756,5.0,327.0, , , , , 
1545360296456,10,44,56,1,-0.9864111;2.920926;9.251195,-0.05742133;-0.12339478;-0.34330627,-15.0;-13.9375;-23.8125,1019.4756,5.0,327.0, , , , , 
1545360296466,10,44,56,1,-0.90021986;2.7389667;9.481039,-0.05742133;-0.12339478;-0.34330627,-14.4375;-13.8125;-23.8125,1019.4756,5.0,327.0, , , , , 
1545360296477,10,44,56,1,-0.7757214;2.6144683;9.509769,-0.05742133;-0.12339478;-0.34330627,-14.3125;-14.0;-24.0625,1019.4756,5.0,327.0, , , , , 
1545360296486,10,44,56,1,-0.5554548;2.4899697;9.260772,-0.05742133;-0.12339478;-0.34330627,-14.1875;-14.125;-24.25,1019.4756,5.0,327.0, , , , , 
1545360296496,10,44,56,1,-0.4213795;2.4708161;9.040505,-0.05742133;-0.12339478;-0.34330627,-14.1875;-14.125;-23.8125,1019.4756,5.0,327.0, , , , , 
1545360296506,10,44,56,1,-0.25857377;2.5187001;8.829816,-0.05742133;-0.12339478;-0.34330627,-14.1875;-14.25;-23.6875,1019.4756,5.0,327.0, , , , , 
1545360296517,10,44,56,1,-0.20111294;2.528277;8.7532015,-0.05742133;-0.12339478;-0.34330627,-14.6875;-14.25;-23.8125,1019.4756,5.0,327.0, , , , , 
1545360296527,10,44,56,1,-0.21068975;2.5570073;8.724471,-0.05742133;-0.12339478;-0.34330627,-14.6875;-14.375;-24.25,1019.46484,5.0,327.0, , , , , 
1545360296537,10,44,56,1,-0.30645782;2.6144683;8.743625,-0.05742133;-0.12339478;-0.34330627,-14.6875;-13.9375;-24.375,1019.46484,5.0,327.0, , , , , 
