time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543544957885,10,29,17,0,0.02873042;3.5625722;9.662998,-1.1702956;-0.1749169;0.3286455,39.6875;-19.9375;-41.875,1021.4917,5.0,14066.0, , , , , 
1543544957895,10,29,17,0,0.39264908;1.8195933;9.653421,-1.1702956;-0.1749169;0.3286455,-7.0;-47.9375;-33.875,1021.4917,5.0,8550.0, , , , , 
1543544957905,10,29,17,0,-0.37349546;1.9440918;8.408437,-1.1702956;-0.1749169;0.3286455,-5.5625;-46.5;-32.375,1021.541,5.0,8550.0, , , , ,0
1543544957916,10,29,17,0,-0.7182605;2.0494366;7.9104424,-1.1702956;-0.1749169;0.3286455,-6.25;-48.75;-33.875,1021.541,5.0,8550.0, , , ,76 3c:8c:40:e0:30:21;-80 3c:8c:40:e0:30:20;-81 dc:da:80:81:ea:7c;-82 d4:68:ba:87:c6:7c;-65 3c:ce:73:f8:f8:8e;-84 3c:8c:40:e0:5a:a1;-85 3c:8c:40:e0:5a:a0;-86 3c:ce:73:f8:f8:8d;-86 3c:ce:73:f8:f8:8b;-84 3c:ce:73:f8:f8:8f;-84 d4:68:ba:87:c6:83;-76 34:ce:00:58:ed:4c;-84 40:31:3c:1b:f0:16;-86 3c:ce:73:f8:b8:fd;-84 3c:ce:73:f8:b8:fb;-82 c8:f9:f9:2b:47:6c;-85 3c:ce:73:f8:b8:ff;-81 3c:ce:73:f8:b8:fc;-80 b0:26:80:b1:f3:be;-84 00:be:75:cf:9b:af;-85 00:be:75:cf:9b:ac;-85 b0:26:80:b1:f3:bb;-83 d4:a0:2a:4a:ab:fe;-86 b0:26:80:b1:f3:bf;-83 50:64:2b:b2:96:12;-80 6c:b0:ce:42:54:c3;-86 00:be:75:cf:4c:3b;-86 1c:aa:07:c6:5d:de;-80 d0:76:e7:9d:a9:e8;-87 00:34:cb:64:27:17;-81 1c:aa:07:c6:58:de;-84 68:f0:bc:00:e3:b7;-85 00:34:cb:64:27:67;-79 1c:aa:07:c6:5d:db;-82 1c:aa:07:c6:5d:df;-81 e4:f4:c6:03:17:52;-85 00:34:cb:64:2a:af;-83 00:34:cb:64:2a:7d;-80 00:34:cb:64:29:71;-77 00:34:cb:54:cc:33;-79 00:34:cb:64:29:6f;-88 00:be:75:cf:4c:3e;-83 00:17:7b:0f:44:40;-89 00:17:7b:0f:48:f0;-83 00:17:7b:0f:52:a0;-81 00:17:7b:0f:80:18;-73 d0:76:e7:e6:53:c2;-76 ec:23:7b:2f:c9:79;-81 4c:d0:cb:d3:51:60;-80 d0:76:e7:e6:53:c1;-71 dc:da:80:81:ea:7b;-71 3c:ce:73:f8:b8:f2;-58 00:34:cb:68:e5:37;-54 3c:ce:73:f8:b8:f3;-61 00:34:cb:64:27:66;-65 40:31:3c:1b:f0:15;-74 78:44:fd:8b:89:5e;-74 50:64:2b:b2:96:11;-67 78:d3:8d:a4:9b:d8;-70 c4:86:e9:cc:b4:60;-73 38:22:d6:d9:7b:72;-56 42:1a:a9:be:33:a7;-65 42:1a:a9:be:33:a6;-66 42:1a:a9:be:33:a5;-68 78:44:fd:80:c0:76;-71 38:22:d6:d9:7b:70;-55 8c:be:be:2a:bd:e7;-75 00:17:7b:0f:48:d8;-70 00:17:7b:0f:52:88;-76 00:34:cb:68:e4:c1;-70 38:22:d6:d9:55:52;-68 38:22:d6:d9:55:50;-71 1c:fa:68:44:9f:40;-75 c8:3a:35:12:9c:11;-73 00:34:cb:68:d7:91;-55 50:fa:84:13:87:b4;-69, 
1543544957926,10,29,17,0,-1.2545617;2.4899697;7.374141,-1.1702956;-0.1749169;0.3286455,-5.5625;-46.5;-33.875,1021.541,5.0,8127.0, , , , , 
1543544957937,10,29,17,0,-1.2354081;2.4995465;6.847417,-1.1702956;-0.1749169;0.3286455,-6.25;-47.25;-30.9375,1021.541,5.0,8127.0, , , , , 
1543544957948,10,29,17,0,-1.1300632;2.633622;6.588843,-1.1702956;-0.1749169;0.3286455,-6.9375;-48.75;-30.9375,1021.541,5.0,8127.0, , , , , 
1543544957958,10,29,17,0,-0.89064306;2.9879637;6.1195793,-1.1702956;-0.1749169;0.3286455,-6.25;-47.25;-30.9375,1021.541,5.0,8127.0, , , , , 
1543544957969,10,29,17,0,-0.7757214;3.217807;5.746084,-1.1702956;-0.1749169;0.3286455,-7.6875;-47.9375;-30.9375,1021.541,5.0,8127.0, , , , , 
1543544957979,10,29,17,0,-0.6703765;3.265691;5.583278,-1.1702956;-0.1749169;0.3286455,-7.625;-49.4375;-30.1875,1021.541,5.0,8127.0, , , , , 
1543544957990,10,29,17,0,-0.4213795;3.3518825;5.544971,-1.1702956;-0.1749169;0.3286455,-6.25;-48.75;-30.1875,1021.541,5.0,8127.0, , , , , 
1543544958000,10,29,18,0,-0.32561144;3.2944214;5.899313,-1.1702956;-0.1749169;0.3286455,-8.3125;-50.1875;-30.9375,1021.54004,5.0,8127.0, , , , , 
1543544958010,10,29,18,0,-0.545878;3.371036;6.3589997,-1.1702956;-0.1749169;0.3286455,-5.5;-49.5;-30.9375,1021.54004,5.0,8127.0, , , , , 
1543544958021,10,29,18,0,-0.45010993;3.8115692;7.086837,-1.1702956;-0.1749169;0.3286455,-6.25;-48.75;-29.4375,1021.54004,5.0,8127.0, , , , , 
1543544958030,10,29,18,0,-0.19153613;4.0414124;8.121132,-1.1702956;-0.1749169;0.3286455,-6.1875;-50.25;-28.6875,1021.54004,5.0,8127.0, , , , , 
1543544958041,10,29,18,0,-0.17238252;4.1276035;8.6574335,-1.1702956;-0.1749169;0.3286455,-7.625;-48.6875;-30.9375,1021.54004,5.0,8127.0, , , , , 
1543544958051,10,29,18,0,-0.019153614;4.3382936;9.203311,-1.1702956;-0.1749169;0.3286455,-6.1875;-49.5;-30.1875,1021.54004,5.0,8127.0, , , , , 
1543544958061,10,29,18,0,0.29688102;4.223372;9.490616,-1.1702956;-0.1749169;0.3286455,-8.3125;-50.9375;-30.9375,1021.54004,5.0,8127.0, , , , , 
1543544958072,10,29,18,0,0.7661445;4.050989;10.065224,-1.1702956;-0.1749169;0.3286455,-8.3125;-50.9375;-29.4375,1021.54004,5.0,8127.0, , , , , 
1543544958082,10,29,18,0,1.4652514;2.930503;9.768343,-1.1702956;-0.1749169;0.3286455,-9.0625;-49.4375;-27.9375,1021.54004,5.0,8127.0, , , , , 
